County,Eng % achieved 2012,Maths % acheived 2012
Barking and Dagenham,70.7,69.4
Barnet,81.5,79.5
Barnsley,56,50.6
Bath and North East Somerset,66.9,68.9
Bedford,66.7,70.9
Bedfordshire,,
Bexley,69.2,76.5
Birmingham,72.7,71
Blackburn with Darwen,65.6,74
Blackpool,63.4,50.3
Bolton,67.3,69.6
Bournemouth,72.1,70.1
Bracknell Forest,71.9,71.3
Bradford,66.5,62.2
Brent,74,78.5
Brighton and Hove,72.2,60.3
"Bristol, City of",69.5,62.8
Bromley,77.5,77.9
Buckinghamshire,75.5,81
Bury,75.5,68.5
Calderdale,68.2,67.1
Cambridgeshire,68.6,66.9
Camden,74.2,72.7
Central Bedfordshire,64.4,70.1
Cheshire,,
Cheshire East,68.3,68.9
Cheshire West and Chester,70,69.3
Cornwall,66,66.3
Coventry,70.5,71
Croydon,73.8,74.2
Cumbria,64.6,62.6
Darlington,67.8,74
Derby,69,66.9
Derbyshire,64.1,65.9
Devon,67.6,72.7
Doncaster,61.1,62.4
Dorset,63.6,65
Dudley,67.7,63.2
Durham,73.9,66.9
Ealing,77,75.2
East Riding of Yorkshire,63.3,66.1
East Sussex,66.4,70.9
Enfield,70.9,68.1
Essex,67,71.7
Gateshead,69.2,68.2
Gloucestershire,69.1,74.8
Greenwich,75.8,76.6
Hackney,77.6,78.5
Halton,71.1,69.1
Hammersmith and Fulham,76.6,81.9
Hampshire,66.7,71.4
Haringey,74.7,77.6
Harrow,81.9,80.3
Hartlepool,50.6,63.6
Havering,64.6,73.5
Herefordshire,64.7,71.4
Hertfordshire,70.6,76.7
Hillingdon,70.3,74.8
Hounslow,74.6,76.2
Inner London,74.4,76.4
Isle of Wight,52.9,60.7
Isles of Scilly,86.4,100
Islington,68.7,72
Kensington and Chelsea,85.2,82.9
Kent,69.4,71.8
"Kingston upon Hull, City of",58.8,54.5
Kingston upon Thames,79.9,82.9
Kirklees,74.3,70.6
Knowsley,50,50.7
Lambeth,76.7,78.2
Lancashire,70.2,69.2
Leeds,62.6,66.4
Leicester,72.9,63.5
Leicestershire,70.9,63.3
Lewisham,70.6,68.7
Lincolnshire,70.5,72.6
Liverpool,66.5,64.8
LONDON,74.3,76.4
Luton,69.4,75.5
Manchester,68.5,64
Medway,72.8,71.3
Merton,71.9,80
Middlesbrough,55,53.1
Milton Keynes,76.9,69
Newcastle upon Tyne,69.2,64.6
Newham,75.9,77.6
Norfolk,66.7,68.3
North East Lincolnshire,65.9,65.7
North Lincolnshire,62.4,66.7
North Somerset,70.9,67.1
North Tyneside,65.1,73.1
North Yorkshire,70.5,74.1
Northamptonshire,68.5,67.4
Northumberland,67.5,68.6
Nottingham,58.2,61.4
Nottinghamshire,70,66.1
Oldham,61.3,65.5
Oxfordshire,65.5,71.7
Peterborough,62.2,61.2
Plymouth,70.7,65.2
Poole,70.9,69.5
Portsmouth,64.3,63.3
Reading,70.8,73.4
Redbridge,80,84.8
Redcar and Cleveland,58.6,63.6
Richmond upon Thames,68.7,72.9
Rochdale,63.9,67.1
Rotherham,72.7,66.7
Rutland,58.7,66.4
Salford,60.8,60
Sandwell,64.9,65.2
Sefton,66.3,65.5
Sheffield,68.3,66
Shropshire,65.1,69.8
Slough,76.2,79.9
Solihull,71.5,68.7
Somerset,65,66.5
South Gloucestershire,66,66.7
South Tyneside,68.5,66.4
Southampton,68.3,66.8
Southend-on-Sea,69.6,71.5
Southwark,76.1,76.7
St. Helens,62.3,64.9
Staffordshire,68.9,67.6
Stockport,72.3,74.7
Stockton-on-Tees,62.9,57.5
Stoke-on-Trent,67,56.4
Suffolk,61.5,64
Sunderland,71.1,69.3
Surrey,71.8,74.7
Sutton,79.5,82.4
Swindon,68.9,58.7
Tameside,65.6,66
Telford and Wrekin,66.8,70.2
Thurrock,67.6,75.7
Torbay,70.6,67
Tower Hamlets,73,74.3
Trafford,76.8,80
Wakefield,71.2,65.4
Walsall,62,66.6
Waltham Forest,70.2,69
Wandsworth,65.7,75.1
Warrington,72.5,72.8
Warwickshire,72,69.6
West Berkshire,62.4,72.1
WEST MIDLANDS,69.3,68.4
West Sussex,67.5,68.3
Westminster,81.2,85.4
Wigan,72.4,71.3
Wiltshire,67.3,71.4
Windsor and Maidenhead,70.4,78
Wirral,73.5,75.2
Wokingham,71.3,77.5
Wolverhampton,71.3,66.7
Worcestershire,70.9,71.7
York,71.1,74
