objectid,ctyua16cd,ctyua16nm,ctyua16nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
94,E09000002,Barking and Dagenham, ,547759,185107,0.12950601,51.54552078,37799328.27,36967.04444
95,E09000003,Barnet, ,523472,191753,-0.21821,51.61108017,86748323.86,50818.44746
72,E08000016,Barnsley, ,429979,403327,-1.54925001,53.52576828,329077593.9,126421.1518
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654008,51.35604095,351123211.1,141684.5666
54,E06000055,Bedford, ,505721,256463,-0.45462999,52.19628143,476408304.7,131721.062
96,E09000004,Bexley, ,549202,175433,0.146212,51.45820999,64286460.82,43418.76695
80,E08000025,Birmingham, ,408150,287352,-1.88141,52.48403931,267791067,106260.622
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.46359992,53.70080185,137022077.7,65284.97085
9,E06000009,Blackpool, ,332763,436633,-3.02284002,53.8216095,43150773.21,36304.96018
169,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75363922,108728051.6,65601.63683
57,E08000001,Bolton, ,368352,409873,-2.47952008,53.58449173,139792045.6,82647.14095
28,E06000028,Bournemouth, ,410069,93928,-1.85863996,50.7448616,47168138.49,44382.67382
36,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.41130066,109384210.8,62507.91599
87,E08000032,Bradford, ,408395,438626,-1.87389004,53.84381866,366419730.9,135920.3501
97,E09000005,Brent, ,519615,186468,-0.27568001,51.56441116,43232644.64,38334.01051
164,W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868,-3.61359,51.56058121,255311503.2,89760.89942
43,E06000043,Brighton and Hove, ,530279,106849,-0.15079001,50.84648895,85376797.84,58333.23422
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.47114944,235328726.5,145315.5847
98,E09000006,Bromley, ,542036,165708,0.039246,51.37266922,150134857.7,76164.14848
126,E10000002,Buckinghamshire, ,482506,208561,-0.80568999,51.76966095,1564949150,361852.6375
58,E08000002,Bury, ,379658,410768,-2.30879998,53.5931015,99460126.55,68541.71103
168,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753003,51.65000916,277387820.7,116205.5917
88,E08000033,Calderdale, ,402617,424896,-1.96182001,53.72048187,363961000.1,107687.1612
127,E10000003,Cambridgeshire, ,520312,273864,-0.23506001,52.34965897,3054007553,421460.3786
99,E09000007,Camden, ,527492,184284,-0.16289,51.5430603,21789300.57,26150.75057
166,W06000015,Cardiff,Caerdydd,315270,178887,-3.22212005,51.50254059,149511253.8,70553.46714
161,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111001,51.89495087,2438947041,362828.2444
55,E06000056,Central Bedfordshire, ,504615,234492,-0.47753999,51.99903107,715665293.8,232692.2979
159,W06000008,Ceredigion,Ceredigion,267126,268437,-3.94993997,52.29795074,1805867358,325626.5363
48,E06000049,Cheshire East, ,380510,363462,-2.29298997,53.1679306,1166357386,301224.76
49,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298004,53.1633606,941207280.3,258517.9966
93,E09000001,City of London, ,532382,181358,-0.09351,51.51564026,3149381.822,9601.693987
155,W06000003,Conwy,Conwy,283293,362562,-3.74645996,53.14738846,1153483606,242526.8624
51,E06000052,Cornwall, ,212501,64494,-4.64248991,50.45022964,3613442431,786375.8526
47,E06000047,County Durham, ,410381,532242,-1.8405,54.68513107,2232698640,309346.3393
81,E08000026,Coventry, ,432807,279689,-1.51908004,52.41423035,98639062.77,54057.18765
100,E09000008,Croydon, ,533922,164745,-0.07761,51.36597824,86494439.75,58703.88145
128,E10000006,Cumbria, ,341868,527389,-2.90217996,54.63825989,7182472588,580153.739
5,E06000005,Darlington, ,428029,515649,-1.56834996,54.5353508,197475689,107206.2829
156,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.08832932,846380194.8,220794.4014
15,E06000015,Derby, ,435609,335375,-1.47188997,52.91463852,78031122.04,50037.53956
129,E10000007,Derbyshire, ,426752,353556,-1.60210001,53.07857895,2550762423,469168.8315
130,E10000008,Devon, ,283141,93082,-3.65701008,50.72555923,6636103026,769832.9321
73,E08000017,Doncaster, ,459167,403735,-1.10894001,53.52696991,568551039.4,135161.128
131,E10000009,Dorset, ,370871,99796,-2.41466999,50.79697037,2572973720,442369.0954
82,E08000027,Dudley, ,393191,288584,-2.10171008,52.49512863,97958244.29,75382.29247
101,E09000009,Ealing, ,517057,181960,-0.31406999,51.52442932,55544346.33,47438.83374
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66202998,53.88122177,2494795364,372194.1655
132,E10000011,East Sussex, ,564120,118026,0.33453,50.93832016,1725168829,271729.3756
102,E09000010,Enfield, ,532829,196197,-0.08147,51.64888,82200191.74,41064.55781
133,E10000012,Essex, ,575269,215407,0.54104602,51.80981827,3695309521,556493.7017
157,W06000005,Flintshire,Sir y Fflint,321564,369303,-3.17604995,53.21498108,489439482.4,149719.2033
92,E08000037,Gateshead, ,420168,559658,-1.6868,54.93119812,144079857.4,79723.00421
134,E10000013,Gloucestershire, ,389595,213465,-2.15234995,51.81970978,2704528509,424960.8034
103,E09000011,Greenwich, ,542508,175881,0.050108,51.46395874,50441944.21,45579.68974
154,W06000002,Gwynedd,Gwynedd,277968,334967,-3.8155899,52.89825821,2622378512,465995.4371
104,E09000012,Hackney, ,534560,185787,-0.06045,51.5549202,19049030.68,25382.83596
6,E06000006,Halton, ,354246,382146,-2.68852997,53.33423996,90321523.17,60716.83527
105,E09000013,Hammersmith and Fulham, ,523866,177998,-0.21736,51.48736954,17154070.98,23938.85509
135,E10000014,Hampshire, ,452858,127535,-1.24735999,51.04473114,3737906121,503983.2207
106,E09000014,Haringey, ,531262,189349,-0.10667,51.58771133,29598385.23,29025.15995
107,E09000015,Harrow, ,515356,189736,-0.33603001,51.59466934,50463306.41,33735.4592
1,E06000001,Hartlepool, ,447157,531476,-1.27023005,54.67615891,98441691.16,65270.23538
108,E09000016,Havering, ,555032,187514,0.235368,51.56518936,114457263.1,63860.64454
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931003,52.08153915,2179709446,349889.2894
136,E10000015,Hertfordshire, ,518883,213642,-0.27699,51.8087883,1643064931,302891.5101
109,E09000017,Hillingdon, ,508166,183120,-0.44182,51.53662872,115700540.4,63886.69047
110,E09000018,Hounslow, ,512744,174965,-0.37843999,51.46242905,56585441.26,57608.48996
153,W06000001,Isle of Anglesey,Ynys Mon,245222,378346,-4.32290983,53.27944946,749022718.6,250277.7457
46,E06000046,Isle of Wight, ,447186,85950,-1.33361995,50.67129898,394928882,133586.9416
52,E06000053,Isles of Scilly, ,91327,11447,-6.3021698,49.92332077,22849391.18,176560.5052
111,E09000019,Islington, ,531158,184647,-0.10992,51.54547882,14856651.34,20727.86066
112,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.49644089,12383787.26,21002.57551
137,E10000016,Kent, ,590262,147263,0.72155303,51.19290161,3639552586,418965.6035
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.30379999,53.76979065,81497501.44,45997.51428
113,E09000021,Kingston upon Thames, ,519508,167389,-0.28367001,51.39295959,37261180.48,37553.09348
89,E08000034,Kirklees, ,414586,416223,-1.78085005,53.64233017,408551661.9,125668.2341
67,E08000011,Knowsley, ,344762,393778,-2.8329699,53.43788147,86500064.39,68167.37199
114,E09000022,Lambeth, ,531118,175626,-0.11385,51.46442032,27249338.43,34179.41142
138,E10000017,Lancashire, ,369784,440758,-2.46091008,53.86215973,3082994679,439578.8438
90,E08000035,Leeds, ,432528,436384,-1.50735998,53.82273102,551706533.5,161521.7105
16,E06000016,Leicester, ,458946,304594,-1.13039994,52.63592148,73342069.72,51931.70634
139,E10000018,Leicestershire, ,442147,310191,-1.3779,52.68778992,2083786941,378800.78
115,E09000023,Lewisham, ,537889,173344,-0.01733,51.44231033,35317028.14,41088.50135
140,E10000019,Lincolnshire, ,517985,358543,-0.23882,53.11104965,6102768751,558270.2483
68,E08000012,Liverpool, ,339361,390553,-2.91364002,53.40829849,133533740.9,67269.55626
32,E06000032,Luton, ,508606,222559,-0.42319,51.89102173,43352495.18,34569.609
59,E08000003,Manchester, ,384591,397063,-2.23358989,53.47008896,115648226.7,86851.20583
35,E06000035,Medway, ,578207,175196,0.563173,51.44770813,269063686.4,92535.64351
174,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36424994,51.74858093,111956999.8,66696.83086
116,E09000024,Merton, ,526069,169507,-0.18866999,51.41056824,37624735.05,32349.01731
2,E06000002,Middlesbrough, ,451141,516887,-1.21098995,54.5446701,54553584.91,41055.77598
42,E06000042,Milton Keynes, ,486408,242308,-0.74070001,52.07241058,308626789.9,102960.271
171,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.90280008,51.77827072,886053495.7,251040.8717
163,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638009,51.64450073,451869990.5,133805.0876
76,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65296996,55.02101135,115117793.4,61724.63238
117,E09000025,Newham, ,540721,183327,0.027369,51.53131866,38578081.01,31823.20521
172,W06000022,Newport,Casnewydd,337897,187433,-2.89769006,51.58232117,217767579.1,135978.6663
141,E10000020,Norfolk, ,600546,312278,0.96466202,52.67110825,5508350458,445038.9698
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13926999,53.52336121,203554047.5,89885.85881
13,E06000013,North Lincolnshire, ,497798,410996,-0.52410001,53.58644867,875684730.3,185646.3401
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.39707184,390815092.1,139299.5415
77,E08000022,North Tyneside, ,431471,570602,-1.50923002,55.02896118,84819237.27,66218.47126
143,E10000023,North Yorkshire, ,429509,466515,-1.55032003,54.09371185,8052940999,796942.7088
142,E10000021,Northamptonshire, ,477359,268708,-0.86668003,52.31105042,2366990162,380407.8316
56,E06000057,Northumberland, ,395323,600699,-2.07521009,55.30036926,5078180262,554985.1418
18,E06000018,Nottingham, ,456082,339969,-1.16666996,52.9541893,74613563,58724.0265
144,E10000024,Nottinghamshire, ,466570,359496,-1.00655997,53.12850189,2086894976,362063.4972
60,E08000004,Oldham, ,396603,406784,-2.0527401,53.55767822,142344917.1,71165.72738
145,E10000025,Oxfordshire, ,448985,208334,-1.29146004,51.77154922,2605947810,413240.4338
160,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.90818024,51.85512161,1650471888,548985.0235
31,E06000031,Peterborough, ,517372,300777,-0.26874,52.5921402,343437883.2,112635.0933
26,E06000026,Plymouth, ,249944,58255,-4.1129899,50.40494156,84362633.6,61972.32097
29,E06000029,Poole, ,403393,93466,-1.95326996,50.74077988,74716162.56,46214.80971
44,E06000044,Portsmouth, ,465607,101357,-1.07023001,50.80804825,60144416.47,43572.72409
173,W06000023,Powys,Powys,302328,273254,-3.43532991,52.348629,5195456325,606573.81
38,E06000038,Reading, ,470226,173154,-0.99071002,51.45301819,40397991.57,39330.64683
118,E09000026,Redbridge, ,543512,189478,0.070085,51.58589172,56442210.59,45768.66196
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00610995,54.56752014,253890933.8,101208.7543
167,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41358995,51.62184906,424150428.1,130240.6291
119,E09000027,Richmond upon Thames, ,519005,172648,-0.28913999,51.44033051,58761174.73,52353.94854
61,E08000005,Rochdale, ,390315,412326,-2.14784002,53.60741043,158128178.5,82713.08543
74,E08000018,Rotherham, ,447542,388980,-1.28650999,53.3955307,286534366,106151.914
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.66764832,393748906.4,125884.8932
62,E08000006,Salford, ,374556,398128,-2.38485003,53.47927094,97197275.64,63268.72644
83,E08000028,Sandwell, ,399573,290764,-2.00770998,52.51477051,85558926.66,59210.99955
70,E08000014,Sefton, ,334264,398832,-2.99203992,53.48210144,204779736.3,124317.347
75,E08000019,Sheffield, ,430511,389736,-1.54253995,53.40357971,367930015.8,132837.0856
50,E06000051,Shropshire, ,350227,302960,-2.73667002,52.6221199,3197275381,580649.3527
39,E06000039,Slough, ,498920,179246,-0.57617003,51.50350189,32542008.75,44181.38075
84,E08000029,Solihull, ,419434,281483,-1.71557999,52.43099976,178282109.4,101031.2542
146,E10000027,Somerset, ,309293,131082,-3.29605007,51.07186127,3513853741,460161.4054
25,E06000025,South Gloucestershire, ,367559,183196,-2.46921992,51.54671097,536645357.5,158121.5632
78,E08000023,South Tyneside, ,435503,564057,-1.44695997,54.96987915,67108369.84,45677.09097
45,E06000045,Southampton, ,442253,113608,-1.40024996,50.92037964,56385169.64,37286.16075
33,E06000033,Southend-on-Sea, ,587776,186833,0.70690602,51.54914093,67901003.5,69436.75508
120,E09000028,Southwark, ,533945,175863,-0.07309,51.46588898,29913440.85,33627.03108
69,E08000013,St. Helens, ,353412,395992,-2.70309997,53.45861816,136358791.3,76386.87388
147,E10000028,Staffordshire, ,398243,334651,-2.02756,52.90930176,2623314390,502096.4885
63,E08000007,Stockport, ,391806,388264,-2.12467003,53.39115906,126040274.9,73638.63445
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30668998,54.55691147,209730813.1,108085.1444
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707077,93448485.26,63974.40813
148,E10000029,Suffolk, ,608216,266122,1.04914796,52.2538681,3853574669,448234.3494
79,E08000024,Sunderland, ,436470,551525,-1.43343997,54.85720062,139630136.8,69187.76659
149,E10000030,Surrey, ,515966,153408,-0.33910999,51.26802826,1670072929,273588.1628
121,E09000029,Sutton, ,527356,163640,-0.17227,51.3575592,43846975.31,39844.37895
162,W06000011,Swansea,Abertawe,264022,197308,-3.96723008,51.65805817,420897960.7,147002.431
30,E06000030,Swindon, ,418551,186564,-1.73367,51.57762909,230093380.8,103014.5806
64,E08000008,Tameside, ,394987,397995,-2.0769999,53.47866821,103154301.9,55988.96016
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48940992,52.71416855,290313547,118779.6737
34,E06000034,Thurrock, ,562126,181586,0.33490199,51.5099411,184317852.7,77761.94661
27,E06000027,Torbay, ,289730,64608,-3.5552299,50.4708786,119467056,52413.76321
170,W06000020,Torfaen,Torfaen,327459,200480,-3.05100989,51.69836044,126239928.6,82544.7887
122,E09000030,Tower Hamlets, ,536345,181451,-0.0364,51.51552963,21574975.8,26802.78417
65,E08000009,Trafford, ,375790,391162,-2.36572003,53.4167099,106044770.2,60712.7697
165,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083,-3.39803004,51.44837952,339675776.9,102214.8835
91,E08000036,Wakefield, ,438366,418235,-1.42092001,53.65922165,338619733.6,109447.2598
85,E08000030,Walsall, ,402098,300804,-1.97044003,52.60503006,103973544.8,59405.30302
123,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.59460831,38807956.94,33339.26839
124,E09000032,Wandsworth, ,525152,174137,-0.20021001,51.45238876,35220158.27,37404.41384
7,E06000007,Warrington, ,362744,388456,-2.56167006,53.39162827,182383635.2,84154.56839
150,E10000031,Warwickshire, ,429584,253588,-1.56874001,52.17977142,1977522678,397570.2526
37,E06000037,West Berkshire, ,450575,172095,-1.27364004,51.44559097,704169403.7,166801.5757
151,E10000032,West Sussex, ,508316,118010,-0.45932999,50.95133972,2023463308,266271.2597
125,E09000033,Westminster, ,528268,180871,-0.15295,51.51221085,22030053.55,27156.24605
66,E08000010,Wigan, ,362136,402126,-2.57246995,53.51445007,188171016.8,88690.36287
53,E06000054,Wiltshire, ,405209,158863,-1.92660999,51.32883072,3255338112,402006.254
40,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67540997,51.48033905,198427168.6,114829.0871
71,E08000015,Wirral, ,329242,386937,-3.06502008,53.37453842,256399074.6,97885.01135
41,E06000041,Wokingham, ,476624,169902,-0.89934999,51.42295837,178965480.9,86865.58689
86,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.59788132,69436702.71,56058.88064
152,E10000034,Worcestershire, ,385792,257203,-2.20935011,52.21287155,1740514188,372990.2948
158,W06000006,Wrexham,Wrecsam,333523,345387,-2.99202991,53.00167084,503773485,190056.6135
14,E06000014,York, ,460864,452589,-1.07375002,53.96582031,272014815.3,99399.32705
