Year,Subject,AgeGroup,Grade,County,Number of candidates,CountyPercent,NationalPercent
2019,Mathematics,Aged 16,5 and above,Bedfordshire,"7,445",47.1,50.1
2019,Mathematics,Aged 16,5 and above,Berkshire,"9,290",56.5,50.1
2019,Mathematics,Aged 16,5 and above,Buckinghamshire,"8,910",58.2,50.1
2019,Mathematics,Aged 16,5 and above,Cambridgeshire,"8,330",51.4,50.1
2019,Mathematics,Aged 16,5 and above,Cheshire,"10,820",52,50.1
2019,Mathematics,Aged 16,5 and above,Cornwall,"5,140",46.4,50.1
2019,Mathematics,Aged 16,5 and above,County of Bristol,"3,505",45.6,50.1
2019,Mathematics,Aged 16,5 and above,Cumbria,"4,935",47.5,50.1
2019,Mathematics,Aged 16,5 and above,Derbyshire,"10,250",49.9,50.1
2019,Mathematics,Aged 16,5 and above,Devon,"11,045",49,50.1
2019,Mathematics,Aged 16,5 and above,Dorset,"7,155",52.7,50.1
2019,Mathematics,Aged 16,5 and above,Durham,"8,325",46.9,50.1
2019,Mathematics,Aged 16,5 and above,East Riding of Yorkshire,"5,565",44.6,50.1
2019,Mathematics,Aged 16,5 and above,East Sussex,"7,385",51.8,50.1
2019,Mathematics,Aged 16,5 and above,Essex,"18,485",49,50.1
2019,Mathematics,Aged 16,5 and above,Gloucestershire,"9,015",52,50.1
2019,Mathematics,Aged 16,5 and above,Greater London,"81,265",54.6,50.1
2019,Mathematics,Aged 16,5 and above,Greater Manchester,"29,515",46.3,50.1
2019,Mathematics,Aged 16,5 and above,Hampshire,"16,815",51.8,50.1
2019,Mathematics,Aged 16,5 and above,Herefordshire,"1,750",47.8,50.1
2019,Mathematics,Aged 16,5 and above,Hertfordshire,"13,260",58.2,50.1
2019,Mathematics,Aged 16,5 and above,Isle of Wight,"1,155",41.9,50.1
2019,Mathematics,Aged 16,5 and above,Kent,"18,815",51.4,50.1
2019,Mathematics,Aged 16,5 and above,Lancashire,"15,855",48.7,50.1
2019,Mathematics,Aged 16,5 and above,Leicestershire,"10,865",49.2,50.1
2019,Mathematics,Aged 16,5 and above,Lincolnshire,"10,815",47.9,50.1
2019,Mathematics,Aged 16,5 and above,Merseyside,"13,630",44.2,50.1
2019,Mathematics,Aged 16,5 and above,Norfolk,"7,765",48.1,50.1
2019,Mathematics,Aged 16,5 and above,North Yorkshire,"11,580",52.2,50.1
2019,Mathematics,Aged 16,5 and above,Northamptonshire,"7,700",48.9,50.1
2019,Mathematics,Aged 16,5 and above,Northumberland,"2,975",50.1,50.1
2019,Mathematics,Aged 16,5 and above,Nottinghamshire,"10,690",48.7,50.1
2019,Mathematics,Aged 16,5 and above,Oxfordshire,"6,210",53.6,50.1
2019,Mathematics,Aged 16,5 and above,Rutland,505,58.7,50.1
2019,Mathematics,Aged 16,5 and above,Shropshire,"5,110",47,50.1
2019,Mathematics,Aged 16,5 and above,Somerset,"9,230",48.8,50.1
2019,Mathematics,Aged 16,5 and above,South Yorkshire,"13,475",46,50.1
2019,Mathematics,Aged 16,5 and above,Staffordshire,"10,880",44.3,50.1
2019,Mathematics,Aged 16,5 and above,Suffolk,"7,215",46.3,50.1
2019,Mathematics,Aged 16,5 and above,Surrey,"10,805",59.5,50.1
2019,Mathematics,Aged 16,5 and above,Tyne and Wear,"10,590",46.2,50.1
2019,Mathematics,Aged 16,5 and above,Warwickshire,"5,575",56.2,50.1
2019,Mathematics,Aged 16,5 and above,West Midlands,"32,905",44.2,50.1
2019,Mathematics,Aged 16,5 and above,West Sussex,"8,005",50.1,50.1
2019,Mathematics,Aged 16,5 and above,West Yorkshire,"24,505",47.5,50.1
2019,Mathematics,Aged 16,5 and above,Wiltshire,"6,870",51.1,50.1
2019,Mathematics,Aged 16,5 and above,Worcestershire,"5,450",49.7,50.1
