Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,long,lat,Geography_type,Geography_code,Gender,Age,Value,Value_type,Denominator,Numerator
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),All,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,All, 11-16,42.6,%,2353,1003
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Asian,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,All, 11-16,57.7,%,530,306
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Black,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,All, 11-16,44.9,%,642,288
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Chinese,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,All, 11-16,100,%,3,3
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Mixed,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,All, 11-16,35.7,%,227,81
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),White,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,All, 11-16,34.1,%,903,308
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),All,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Boys, 11-16,39.4,%,1245,491
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Asian,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Boys, 11-16,54.6,%,280,153
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Black,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Boys, 11-16,39.5,%,352,139
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Chinese,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Boys, 11-16,100,%,2,2
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Mixed,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Boys, 11-16,32.1,%,106,34
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),White,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Boys, 11-16,32.1,%,477,153
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),All,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Girls, 11-16,46.2,%,1108,512
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Asian,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Girls, 11-16,61.2,%,250,153
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Black,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Girls, 11-16,51.4,%,290,149
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Chinese,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Girls, 11-16,100,%,1,1
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Mixed,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Girls, 11-16,38.8,%,121,47
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),White,ONS 2011 5+1,2018-2019,Academic Year,Barking and Dagenham,0.12950601,51.54552078,Local authority,E09000002,Girls, 11-16,36.4,%,426,155
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),All,ONS 2011 5+1,2018-2019,Academic Year,Barnet,-0.21821,51.61108017,Local authority,E09000003,All, 11-16,62.7,%,3804,2385
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Asian,ONS 2011 5+1,2018-2019,Academic Year,Barnet,-0.21821,51.61108017,Local authority,E09000003,All, 11-16,81.2,%,536,435
Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4),Black,ONS 2011 5+1,2018-2019,Academic Year,Barnet,-0.21821,51.61108017,Local authority,E09000003,All, 11-16,50.4,%,532,268
