"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","SEN_type","SEN_grouping","Admission_type","school_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","43.2","%","542568","234600"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","40","%","276638","110602"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","46.6","%","265930","123998"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","55.5","%","4921","2732"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","48.8","%","4942","2411"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","60.6","%","8082","4895"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","39.1","%","12063","4720"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","49.2","%","30008","14758"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","28.8","%","1941","559"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","38.1","%","9802","3735"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","21.9","%","3776","826"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","33","%","15519","5120"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","73.4","%","1002","735"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","44.9","%","5182","2325"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","40.3","%","4983","2008"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","39.2","%","191323","74911"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","53.6","%","878","471"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","65.3","%","4382","2860"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","17.9","%","67","12"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","46","%","184089","84678"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","56.3","%","810","456"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","60.1","%","9303","5592"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","50.3","%","9877","4965"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","64.1","%","15429","9894"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","41.3","%","23502","9712"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","51.9","%","58111","30163"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","47","%","10108","4754"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","43.8","%","27018","11844"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","55.5","%","6144","3409"
